hs_class,text
positive,lembaga lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang ai politik kuasa pulang otot bubar komisi berantas korupsi
positive,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator
positive,rabun budek gue tulis bicara 
positive,brahahahaaa cebong nya ahoker cebong cebok 
positive,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia
positive,presiden tuduh rezim anti islam negeri umat uniform resource locator
positive,manusia bangsat
positive,ya cina kenal wisata haram indonesia haha
positive,prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis
positive,maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera nih orang uniform resource locator
positive,sedia berengsek
positive,dungu orang ganti presiden tau mikiiiir
positive,kampret complain raga tanggap fuck
positive,kayak jablay grand theft auto jemput pakai mobil
positive,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra
positive,ha lengkap orang bukti goblok sih
positive,nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi 
positive,pakai buruh cina rakyat anggur dasar rejim kodok
positive,
positive,ih banci selotipan 
positive,haha kalah nih iya orang jahat kalah
positive,cinta orde meng idola prabowo amp hary tanoe
positive,tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka
positive,belah duren ya dungu ya cebong maaf ya
positive,bubar hati amp front bela islam uniform resource locator
positive,ahok verbal keras lampias lari lelaki lunak
positive,rencana seret adil ham pbb uniform resource locator
positive,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir
positive,survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie
positive,duduk istana negara lengser jokowi salam
positive,hebat sibuk citra baca nih
positive,muslim hina iblis betina nista syariat
positive,baby kafir buddha teroris myanmar
positive,indonesia merdeka indonesia jajah orang cina takbir allahu akbar uniform resource locator
positive,jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat
positive,sih bejat cabul kecut sih onta iya
positive,wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil
positive,adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung
positive,km mainstream mengaa ikan pintar pintar relatif gantung bawa penge iannya surat pemberitahuan pintar meng undeeestimate orang gue pintar komen rejim now pintar mangkrakan janji janji doang sok making
positive,gue pukau 2019 ganti presiden
positive,yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak
positive,langsung tag ainya berani ya bera i banci
positive,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k
positive,ah asa hibur cebong bahagia presiden cebong tol cebong germo 
positive,resah presiden hidup penuh drama citra main film televisi joko judul uniform resource locator
positive,buddha bunuh muslim myanmar
positive,yahudi bangkai jerman ibadah
positive,papa ketua fraksi rakyat nya setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat
positive,hoaks kodok biawak roket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden 2019 tenggelam jokowi sungai siak
positive,ribut komunis bla bla emoh baca baca niat agitasi serang perintah pakai cari simpatisan
positive,vital inter bek kanan beda ya era maicon ambrosio cancelo bagus nhmmmm bera i simpul geblek ausilio 
positive,nama agama munafik
positive,43 contoh tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi
positive,henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia
positive,caci maki nista agama nyata poligami umpet sih ogah
positive,bubar negara republik indonesia harga mati
positive,sih royson jokowi kacung gue alas fundamental rezim sepe i sengaja masuk debt trap komunis cina north sumatera offshore wajib 2019 ganti presiden
positive,azan televisi panggil manggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan
positive,laku bani cebong
positive,cebong panas ngawur 
positive,partai komunis indonesia alias ai korupsi indonesia ganyang
positive,perempuan kayak mending mati deh jelek sok make up a ist
positive,waspada cina komunis indonesia
positive,banci kampung heeee
positive,ganti rezim kacung cebong
positive,cina hak larang
positive,hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal
positive,perjaka jual sok sok an booking tante idiot anjir
positive,rev 1 pilih ulama kafir munafik
positive,solusi 2019 ganti presiden dampak signifikan nya obat cegah sakit be ambah parah
positive,culun mending kampung jess
positive,ha bangkai nih truk
positive,cebong kampret onta singgung laut
positive,haha orang gila bicara cak micin biar otak encer cong omong ngawur muslim muslim silit tau babi
positive,coba kaca introspeksi keluarga pakai hijab komunis otak pakai prope iya orang
positive,copot darmin nasution menteri ekonomi ekonomi bodoh turun daya beli jabat
positive,mata picek cuk norak lihat prestasi jokowi nguoblokkk tolol
positive,hasil penjara ahok alumni 212 dukung rizieq lengser jokowi lebaran
positive,sabar doa usaha ikhtiar mudah mudah bentar 2019 ganti presiden pakai sontek pakai plonga plongo
positive,umat islam maksud front bela islam hati muslim nista islam bajing muslim onar kecut lari mesum islam islam gilir mesum islam onar islam
positive,celeng nya bang acon susah banget xa
positive,cari musuh dasar ana cebong kampret
positive,nih akun hasil bodoh kaum 212 bikin kaum kaum biar jokowi anti islam wkwk
positive,juara tipu junjung bani kampret 212
positive,amin rais bikin kacau suruh reformasi pilih kepala daerah salah hasil
positive,fahri hamzah presiden komisi berantas korupsi bubar uniform resource locator
positive,native speaker ya mother language nya english komen jaga bangsat
positive,salah tulis salah bu maksud nya cebong muda kampung 
positive,kafir haram pimpin monyet
positive,kiai staquf suku ras biar mudah paham nalar bahlul arab sembah sodor arab bani saud pro israel eh pura pura
positive,bubar dewan wakil rakyat bubar save komisi berantas korupsi
positive,gue diving mampus junedi
positive,suciwati revolusi mental jokowi omong kosong bual tuju amp komen uniform resource locator
positive,otak makelar jual aset negara maling aset negara pe amina jual isi tenaga kerja asing tiongkok 2019 ganti presiden nurl
positive,akun siti fatimah amp komen laman ringkas parah amp bejat malu moga sehat sabar amp semangat suara
positive,bawang putih kafir haram his hiks hiks
positive,tuju ahoker lengser prabowo jokowi hancur penjara karuan uniform resource locator
positive,komunis abad partai komunis indonesia kecoak makan kecoak
positive,mata lu picek ya janji jokowi tagih susilo bambang yudhoyono mata picek blok 
positive,as clara anak pintar dongok kocak cantik idot tau malu urat malu putus butt muka nya imut banget
positive,presiden buruk sejarah bangsa bangsa cebong
positive,ku padah eh even bodoh bulak curang ompu ya nya still segal sayang eh bodoh sikpande harga 
positive,biadab oknum aparat keparat
positive,wkwk mampus salah gue blok jaman jokowi ahok calon gubernur gaya intip intip anies sandi uniform resource locator
positive,mata picek mata lihat belah
positive,kocak kalabong dungu
positive,ehhhhh bandot kritik jokowi mencret darah is oke hina fitnah ambil tindak jokowi presiden pimpin negara pimpin agama salah kaprah luuuu
positive,balas usir buddha ajar etnis muslim rohingya singkir data sensus duduk myanmar
positive,astagfirullah mata gue noda kutuk nge bokep 
positive,kontol iya hapus
positive,pergi bangkai
positive,amin ya rabi tolong indonesia ya alah lebiiihhhh
positive,ustaz partai adil sejahtera yudi widiana tilap duit bahasa agama juz amp liqo feliwetiau amp alumni 212 diam amp pura pura budek gilir bu 
positive,bela pancasila daulat negara dukung lengser ancam nyata
positive,proyek saracen ganjal lantik anies temu saracen foto tokoh ai politik
positive,sih ahok kutil babi
positive,hajar ganyang partai komunis indonesia uniform resource locator
positive,jokowi kasihan goreng pbb
positive,kepala polisi republik indonesia mundur jabat
positive,ya bentar utang susilo bambang yudhoyono njiiieng
positive,masyarakat tionghoa pancasialis orang jawa ekspos contoh nyata kwik ekonom ustaz feliiauw 
positive,negara kayak tipu bocah sekolah dasar dokumen hilang huh
positive,allah subhanahu wa taala sembah dungu biadab ya
positive,ogah prabowo gatot oke
positive,najis kirim pesan direct message gue balas bodoh gue doa pentas menang
positive,cowok bacot sih anjing gue gampar
positive,indonesia lawyers club boediono century intens lupa kunci butuh 2019 ganti presiden
positive,maju gubernur sengsara rawan
positive,copras calon presiden pikir mikirrrr pikir sih kowi 1 periode babak bur uniform resource locator
positive,tau jokowi panggung jilat jilat prabowo dasar lintah uniform resource locator
positive,barusan dongok dongok motor klakson be ubi2 lampu merah oi dongok berisik norak pas tengok tau teman chain menang ganti lu darah puteeeh
positive,dengar ulama otot kriminalisasi ulama ya lengser jokowi
positive,bencong bacot cewek kayak banci amen kasih duit bacot mending cakap jelek kayak suram mentioned gue langsung kutip twit 
positive,cina cina usir ya rusak sih kerja
positive,ayo bangsa indonesia sih etnis cina ahok
positive,dukung calon presiden suka atur jokowi prabowo atur menang pilih presiden 2019
positive,hebat ahok maaf bini salam 7 surat pemberitahuan ono kabur malu ulama laku bejat
positive,dungu islam alquran ajar amoral ansor agama islam posisi moral
positive,hidup prabowo anak soemitro penghianat bangsa
positive,perek sih doll ya
positive,pilih presiden orang tua nya penghianat negara
positive,sih ahok bilang nista agama kayak politikus koruptor panggil urus hukum ngeles pakai sakit hati hati mati
positive,tolol aji agama islam sp i orang aji orang
positive,cebong kasih fakta bilang dusta cebong kasih dusta bilang realita cebonger si bikin gemas 
positive,cina kafir bangsat dasar komunis
positive,rakyat kaum bani cebong
positive,gue menang anjir cupu fik
positive,orang orang maha nan suci sih hina presiden lepas umur keluh tahan cina tahan keluh perintah orde su
positive,salah amp bilang antek asing adik prabowo bilang prabowo pro amerika uniform resource locator
positive,eh wa awan selandia kampret berita kampret sebar kasih konferensi pers laku 
positive,citra ah prabowo tidur
positive,bro ciri ciri cebong adu domba sok lugu nama cebong buzzer receh 
positive,prabowo tua generasi muda blusuk jokowi muda blusuk pulau
positive,dah shopee kampang
positive,baca banding modal hasil dasar antek asing
positive,cebong senang lihat jaya anis sirik parah junjung puji habis habis laku buruk
positive,busuk mawati agama islam takut gejala gila nih nenek
positive,bera i cacat
positive,luhut bajing
positive,tuhan iblis iblis tuhan agama onta
positive,jenderal propaganda perang propaganda jual utama partai komunis indonesia cina
positive,tertawa baris cebong sakit hati pakai isu saracen serang anies sandi gagal lantik
positive,prabowo si mulut busuk rizieq anies fadli zon fahri kumpul sampah negara laku kayak sampah
positive,manusia otak dungu teriak teriak bubar partai komunis indonesia buku baca bodoh otak kosong mulut iya iya
positive,cebong jago bikin sebar hoaks
positive,partai komunis indonesia ramai ramai antek komunis opini nyata abur bangkit partai komunis indonesia
positive,woi bolot
positive,bicara remeh temeh surat pemberitahuan kalajengking beliau tau oposisi surat pemberitahuan nyinyir stres strok dosen laku bacot gede hasil karya anak asuh mayor dungu
positive,ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah
positive,eh dungu mention mention gue puter alun gue forward berita analisa kelompok manusia homo cerdas wkwk wkwk wkwk
positive,hehe tipikal bani bodoh bantah danga dungu
positive,improvisasi lagu al qur an tafsir masak susah pikir murottal tingkat tilawatil qur an tingkat raut muka tafsir kentut tafsir ngentot tafsir kawin tafsir aji
positive,panik ganti presiden tau calon ups pimpin koruptor te angkap ganti presiden tau negosiasi
positive,thread tenaga kerja indonesia malaysia jam kerja enam belas jam kilang jahanam
positive,ekonomi hancur subsidi cabut bahan bakar minyak mahal listrik karuan sembako jangkau rakyat politik kisruh agama nista bijak pro rakyat ham bengkalai leadership lemah periode
positive,indonesia hormat as kemarin bicara nwahhh roman roman antek asing
positive,usir pasang asing cina selamat hutan
positive,cipta hoaks ya presiden wakil
positive,muncul antek antek partai komunis indonesia berani muncul terang terang mudah mudah perintah tinggal diam uniform resource locator
positive,asa walubi umat buddha indonesia usir bantai
positive,gilir ambruk plonga plongo kayak ayam kena tetelo putin prabowo indonesia 2019 ganti presiden
positive,sindir deh 2019 ganti presiden
positive,percaya akun wa 081381413774 nya percaya video camera seukti video call detik pas suruh transfer alas nya ni muka nya kayak monyet uniform resource locator
positive,bicara sains tonton youtube laku eksperimen tonton youtube modifikasi aduh geblek
positive,jokowi serah ganti jokowi lengser jokowi kisas jokowi uniform resource locator
positive,nasional demokrat bahan te awa anak indonesia omong kader kader bunyi calon wakil presiden jokowi khayal kader kader ai rakyat peduli kecuali 2019 ganti presiden
positive,homo sial bajing goblok gian amput anjing tepi jalan moga terima balas nya
positive,direct message sis zon bilang kampang kesal bangsat
positive,alah kontol
positive,bubar komisi berantas korupsi biar leluasa koruptor kaya negeri
positive,susah bang jawa pegang jokowi antek sedih sih
positive,rezim orang kayak berani tampil layar kaca mohon ambil tindak
positive,otoriter bukti ott ai politik ya tangkap
positive,cebong badut nya cina kipas uang receh galak main x
positive,berkat salat aji berkat ajar ilmu kembang kafir lukman
positive,heran budaya indonesia orang sepe i a eria fahri fadli jual teater narasumber berita kamera cari teater sengaja insentif monyet
positive,cina non muslim bantai sih cina usir
positive,orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali ubah ganti presiden rakyat ganti tuhan ganti rakyat
positive,asa kemarin kemarin pakai a aman aman deh rumah 2 minggu kacrut kali sih jaring
positive,otak taruh taruh congor
positive,sih dakwa nista agama alias sih ahok babi jamban morfin uang rakyat jaka a
positive,alquran kitab sampah bahaya kacau
positive,najis sok banget jutek iyuuuh gue yanyk
positive,bubar dewan wakil rakyat komisi berantas korupsi bodoh nya
positive,atur presiden jokowi atur presiden susilo bambang yudhoyono buka mata lihat bacot bodoh bodoh
positive,tolak atur presiden tenaga kerja asing tolak atur presiden tenaga kerja asing 2019 ganti presiden 2019 presiden hai mahasiswa indonesia nih hadiah lipstik kolor orang kakek tukang becak
positive,anggota dewan wakil rakyat pamer dungu biadab islam alquran merintahkan penggal kafir laksana bilang ham
positive,hina keluarga jokowi langsung ciduk gilir hina prabowo susilo bambang yudhoyono biar
positive,bani kocak nih dukung siwanbango bego
positive,haha silvy oh silvy cacing ah wkwk debat final pilih kepala daerah jakarta
positive,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki hadap perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj
positive,bahas islam rusak nilai kuat karakter revitalisasi didik nilai
positive,bagus pakai petisi lengser jokowi ya ahok cipinang
positive,moga etnis cina indonesia duduk perintah kayak singapura
positive,laku raja salman citra
positive,edukasi manusia manusia udik sepe i
positive,tolol hubung rumah tangga urus kerja cakap menteri pecat gubernur jaka a karuan sebentar hancur jaka a
positive,nih ya gue cowok burung cewek cewek nada nada transgender indonesia nyanyi uniform resource locator
positive,indonesia jajah cina
positive,bubar dewan wakil rakyat butuh
positive,tertawa gue tai gampar
positive,cocot cocot cocot 2019 bubar gerindra
positive,burma buddha teroris
positive,wkwk trigger bani onta
positive,berengsek ya mantan gue one thing bout her gue suka mulut filter sok gue jujur
positive,ya gue demo jokowi tendang palkjihun dunia
positive,jelek udik
positive,muak fitnah prabowo
positive,iklan ahok jahat rezim jokowi kampret setan iblis dajjal bangkit kubur gembira pesta pora belenggu
positive,marak orang sipit masuk indonesia alih hati lah syiah ah rafidhah biang kerok ronta kudeta negara muslim ahlusunah dunia
positive,kayak tai
positive,jago bakar isu partai komunis indonesia komunis
positive,sih joko populer pro nas jakarta sih ahok mw kalah proyek proyek jakarta 1 bangun selesai bangun ruas ruas utama cebong goblok salah ani
positive,anak anjing kampang
positive,bani kampret bani kecebong pilih bani adam manusia
positive,hai kunyuk paham ya prabowo subianto calon presiden salah presiden play station mem 
positive,rezim sales rezim tipu citra palsu
positive,sungguh rezim kocak indonesia sekarat umat muslim pilah allah subhanahu wa taala golong muslimin munafik
positive,nih sih nyinyir hijrah tutup koreng
positive,pakai paksa paksa jokowi duduk rakhine prabowo anggur politikus anggur omong ngawur
positive,jokowi ahok te unda penjara ya uniform resource locator
positive,bahasa arab tuhan maha esa pancasila bahasa indonesia
positive,tim sukses anies sandi mentwit kacau sok jago
positive,kicau lihat tolol goblok tolol pilih
positive,bong dungu video 31 detik langsung ambil simpul heran dungu kolam
positive,generasi tinja bahagia pimpin nya koar koar anti asing jaman pilih kepala daerah selesai pilih kepala daerah bela tinja nya asing enak
positive,anak anak partai komunis indonesia muncul jejak
positive,haha babi migrain plak twit caring babi iya hg reply twit lepas brim nih good timing
positive,bikin puyeng kepala prabowo amin rais om nada nada bicara mutu
positive,ganyang partai komunis indonesia mari dukung prabowo 2019
positive,buang islam sakit laku manusia
positive,etnis cina juang khianat antek belanda
positive,ahok si mulut jamban tokoh nilai bahasa indonesia norma etika 0 tai kucing
positive,jir dahak wkwk tolol
positive,ya goblok mas jaka sembung bawa sepeda sekolah bawa golok gila nih orang tua nya
positive,ahok tai fitnah tukang caci maki perempuannn anjing ahok tumbang debat final pilih kepala daerah jakarta
positive,ridwan kamil hebat top kayak ahok tukang nista agama koruptor
positive,muslim allah subhanahu wa taala muhammad bejat nabi
positive,lihat main lengser jokowi hasil ganti presiden sepe i o ganti habibie
positive,media sosial presiden soeha o lengser jokowi
positive,sih anjing lebay geblek
positive,ambisi kuasa sah sah bilang otoriter sih uniform resource locator
positive,hem kayak turun pakde nih akal sehat jalan
positive,heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis
positive,aset negara jual ya ruhut hebat impor pangan rajalela bahan bakar minyak babi buta puluh juta lowong kerja asing hebat joko widodo bikin rakyat negara sengsara hancur
positive,ekonomi pegang gerindra hancur negara masak saran cetak uang bayar hutang hutang utang negara bilang biaya produksi cetak uang murah ekonomi comberan kecoa
positive,98 dolar 12 000 koar koar rezim lengser tembus 15 000 jilat kuasa kasihan rakyat korban propaganda politikus busuk
positive,pagu ajak gelut onta
positive,prof jeffrey musim dingin jokowi presiden lemah sejarah indonesia anisa bahas prof jeffrey musim dingin bagus analisis 2015 bahas 2019 ganti presiden
positive,pecun kelas teri nih uniform resource locator
positive,jongos cina merdeka indonesia cina kasih
positive,hapus teroris islam efektif alquran kitab teroris
positive,ya allah daniel beli micin bego lurah
positive,prabowo layak calon presiden layak presiden
positive,jokowi era bangun duit utang
positive,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa
positive,klop prabowo berontak koruptor
positive,udik darah daging
positive,baju muslim be uliskan 2019 ganti presiden 2019 prabowo presiden
positive,mobile legend babi anjing kasih rank kimakkk tim noob babi bocah setan
positive,haha cebong kafir alay goblok munafik jijik banget ih
positive,iya jual sih koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah
positive,dukung koruptor bubar komisi berantas korupsi situ isu isu partai komunis indonesia dasar koruptor
positive,tenaga kerja asing cina manja
positive,orang bodoh opini partai komunis indonesia bangkit presiden pintar akting citra intelijen tentara nasional indonesia bicara partai komunis indonesia bangkit
positive,indonesia ambil alih cina boikot produk cina
positive,ngapain komen tolol 
positive,sarap peduli bgstttttttt
positive,goblok nonton acara nya malam beliau islam fiksi bukti video nya islam kafir islam banget fitnah muslim kafir gue heran
positive,fiinting
positive,mamat masuk van celah kereta lai rusak setan dasarrrr
positive,manis butut goblok soler out herjos out
positive,hina malu fasilitas perintah bikin bani daster tau malu harga makan gaji negara hina haram
positive,anak pepo tampang doang bawa bangsa foto model cebong urus biar rewel x9
positive,besok prabowo calon presiden teriak teriak timpang percaya maki wa awan gaji
positive,tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga
positive,bilang kafir susah haha sel sel otak sambung ya susah kafir cebong orang bicara bicara maki agama islam pakai rujuk internasional haha
positive,maksud kelas diam bicara ya nama otoriter
positive,monyet komunis tolol
positive,munir kait rezim jokowi anti islam twitkan moga
positive,freepo kontrak habis istimewa aneh dolar tembus 15 000 diam jilat kuasa dungu ya tum lihat bobrok kerja rezim
positive,aduh tolol ya dukung rezim ya kayak
positive,diktator jokowi jongos organisasi jagal manusia nu atur siasat kampanye
positive,ngawur sembarang panitia khusus hambat komisi berantas korupsi lidi teman teman koruptor bubar dewan wakil rakyat sarang koruptor
positive,kirim bantu citra
positive,eh anjing bacot gue tantang duel bangsat
positive,dasar kunyuk nih cari duit modal tipu bangsat abu
positive,baca berita nya nih aki ganggu jiwa nya 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila
positive,ngoaaahahaaa saking kejang kejang nya sih bani kuda prabowo bin onta baca tulis gue selingkuh kuda prabowo ngoaaahahaaaa xa
positive,cari simpati umat muslim jabar pilih presiden 2019 mudah an ulama amp umat islam jabar kesima amp pengaruh trik gaya munafik sih mukidi
positive,tebar benci ahok mbak mbak tau sih dakwa
positive,mampus gue mampus yugi mampus onta arab
positive,demo jilid jilid nyata kitab suci fiksi tuju utama gera bela islam jilid jilid versi 212 motif politik jatuh ahok ahok korban
positive,paksa orang penjara bajing kedok agama
positive,dongok bong kampret kalabong marah marah suruh laden tetas bong bong
